Hum;Temp;PM10_AVG;PM25_AVG;PM1_AVG;Time;;;;;;;;;;;;;;;;;;
bp_sps30;temp:6 hum:88 pm10_Avg:32.52 pm1_Avg:28.01 pm25_Avg:31.09;2019-12-31T17:30:09.099653371Z;temp:6;hum:88;pm10_Avg:32.52;pm1_Avg:28.01;pm25_Avg:31.09;hum:88;temp:6;pm10_Avg:32.52;pm25_Avg:31.09;pm1_Avg:28.01;88;6;32.52;31.09;28.01;12/31/2019 17:30
bp_sps30;pm25_Avg:27.75 temp:5 hum:88 pm10_Avg:28.94 pm1_Avg:25.09;2019-12-31T17:33:17.567713913Z;pm25_Avg:27.75;temp:5;hum:88;pm10_Avg:28.94;pm1_Avg:25.09;hum:88;temp:5;pm10_Avg:28.94;pm25_Avg:27.75;pm1_Avg:25.09;88;5;28.94;27.75;25.09;12/31/2019 17:33
bp_sps30;hum:88 pm10_Avg:33.4 pm1_Avg:27.75 pm25_Avg:31.4 temp:5;2019-12-31T17:36:27.967438674Z;hum:88;pm10_Avg:33.4;pm1_Avg:27.75;pm25_Avg:31.4;temp:5;hum:88;temp:5;pm10_Avg:33.4;pm25_Avg:31.4;pm1_Avg:27.75;88;5;33.4;31.4;27.75;12/31/2019 17:36
bp_sps30;pm10_Avg:38.41 pm1_Avg:32.62 pm25_Avg:36.48 temp:5 hum:88;2019-12-31T17:39:34.513144869Z;pm10_Avg:38.41;pm1_Avg:32.62;pm25_Avg:36.48;temp:5;hum:88;hum:88;temp:5;pm10_Avg:38.41;pm25_Avg:36.48;pm1_Avg:32.62;88;5;38.41;36.48;32.62;12/31/2019 17:39
bp_sps30;hum:88 pm10_Avg:40.48 pm1_Avg:35.33 pm25_Avg:38.94 temp:5;2019-12-31T17:45:51.35432626Z;hum:88;pm10_Avg:40.48;pm1_Avg:35.33;pm25_Avg:38.94;temp:5;hum:88;temp:5;pm10_Avg:40.48;pm25_Avg:38.94;pm1_Avg:35.33;88;5;40.48;38.94;35.33;12/31/2019 17:45
bp_sps30;hum:88 pm10_Avg:39.26 pm1_Avg:34.79 pm25_Avg:38.04 temp:5;2019-12-31T17:48:59.828953269Z;hum:88;pm10_Avg:39.26;pm1_Avg:34.79;pm25_Avg:38.04;temp:5;hum:88;temp:5;pm10_Avg:39.26;pm25_Avg:38.04;pm1_Avg:34.79;88;5;39.26;38.04;34.79;12/31/2019 17:48
bp_sps30;temp:6 hum:88 pm10_Avg:43.41 pm1_Avg:37.31 pm25_Avg:41.46;2019-12-31T17:52:08.199951788Z;temp:6;hum:88;pm10_Avg:43.41;pm1_Avg:37.31;pm25_Avg:41.46;hum:88;temp:6;pm10_Avg:43.41;pm25_Avg:41.46;pm1_Avg:37.31;88;6;43.41;41.46;37.31;12/31/2019 17:52
bp_sps30;temp:5 hum:88 pm10_Avg:43.09 pm1_Avg:36 pm25_Avg:40.61;2019-12-31T17:55:16.677367789Z;temp:5;hum:88;pm10_Avg:43.09;pm1_Avg:36;pm25_Avg:40.61;hum:88;temp:5;pm10_Avg:43.09;pm25_Avg:40.61;pm1_Avg:36;88;5;43.09;40.61;36;12/31/2019 17:55
bp_sps30;hum:88 pm10_Avg:42.55 pm1_Avg:35.28 pm25_Avg:39.97 temp:5;2019-12-31T17:58:25.14477332Z;hum:88;pm10_Avg:42.55;pm1_Avg:35.28;pm25_Avg:39.97;temp:5;hum:88;temp:5;pm10_Avg:42.55;pm25_Avg:39.97;pm1_Avg:35.28;88;5;42.55;39.97;35.28;12/31/2019 17:58
bp_sps30;hum:88 pm10_Avg:44.54 pm1_Avg:37.79 pm25_Avg:42.28 temp:5;2019-12-31T18:01:33.615224342Z;hum:88;pm10_Avg:44.54;pm1_Avg:37.79;pm25_Avg:42.28;temp:5;hum:88;temp:5;pm10_Avg:44.54;pm25_Avg:42.28;pm1_Avg:37.79;88;5;44.54;42.28;37.79;12/31/2019 18:01
